"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000398","mRNA splicing, via spliceosome","71/1780","344/17913",1.69814439147565e-09,1.96291629251389e-07,1.64524837928146e-07,"SRRM2/PCBP1/PRPF19/PRPF8/SF3A1/SNW1/DDX41/SF3B4/CHERP/USP39/SF3B3/PRDX6/DCPS/DDX23/WBP11/SF1/PRCC/SRRM1/EIF4A3/GPATCH1/SF3B2/HNRNPUL1/RNPS1/EFTUD2/PCBP2/CASC3/SNRPA/NUP98/SYMPK/RBFOX2/PABPC1/KDM1A/YBX1/SMNDC1/PAPOLA/SRSF10/SLU7/SNRNP27/HTATSF1/HNRNPC/REST/PRPF40A/STRAP/DHX9/DHX8/PLRG1/CPSF2/SRSF3/CDK13/WBP4/PRPF38A/SYF2/ZCRB1/LSM3/DYRK1A/CWC15/POLR2B/SF3B6/BCAS2/FIP1L1/DDX1/SNRPA1/HNRNPR/GTF2F2/DHX15/CSTF1/SYNCRIP/ZCCHC8/CWC27/SRSF2/HNRNPH2",71
"GO:0010256","endomembrane system organization","74/1780","365/17913",1.76812541829978e-09,2.00293247384999e-07,1.67878855505937e-07,"RAB7A/DCTN1/COG1/BCAS3/BAG6/CORO1C/STAM/CTDNEP1/PDCD6IP/TMEM127/TMEM43/PPP2R1A/STX5/VPS28/BANF1/PLEKHM2/TLCD1/GBF1/CLU/SHTN1/SERPINE2/MAPK3/REEP1/BIN2/TGFB2/UGCG/TMED5/TOR1A/TRAPPC11/AKTIP/TSG101/SURF4/HOOK2/CDC42/SEC61A1/TMED2/DYM/REEP3/CHMP2B/TBC1D20/TOR1AIP2/ZMPSTE24/SNX9/PPP2R2A/RAB1A/TRAPPC8/PDCD10/YWHAZ/BLZF1/AGFG1/CHMP3/RAB18/SQSTM1/VTA1/ATL2/GOLGA5/VPS4B/VPS36/EHD2/TRAM2/VPS37A/RAB2A/MFSD14A/RAB22A/LMAN1/COG3/CHMP4B/ARL6IP1/PPP2CA/SPAST/STAM2/CERT1/RAB3GAP1/WASL",74
"GO:0016579","protein deubiquitination","58/1780","260/17913",2.67307533393349e-09,2.96868601792143e-07,2.48824969164913e-07,"PSMD3/SHMT2/HCFC1/STAM/USP39/SMAD4/USP30/USP21/PSMD4/VCP/FOXO4/GATA3/RAD23A/USP22/TP53/SIAH2/PSMB2/RHOA/PSMF1/PSMB8/ACTB/SMAD3/USP18/PSMC1/MDM2/MAP3K7/PSME3/USP7/USP16/ITCH/OTUD6A/USP14/MINDY3/UCHL5/INO80E/USP9X/USP33/PSMD7/PSMC6/USP1/USP10/INO80/TANK/USP38/ARRB2/SMAD2/INO80D/RHOT1/PSMD2/PSMD5/NFKBIA/PSMA4/PSMD11/PSMC2/STAM2/DDB2/UCHL3/USP42",58
"GO:0000375","RNA splicing, via transesterification reactions","71/1780","348/17913",2.85001340361324e-09,3.10432229193565e-07,2.60193531382505e-07,"SRRM2/PCBP1/PRPF19/PRPF8/SF3A1/SNW1/DDX41/SF3B4/CHERP/USP39/SF3B3/PRDX6/DCPS/DDX23/WBP11/SF1/PRCC/SRRM1/EIF4A3/GPATCH1/SF3B2/HNRNPUL1/RNPS1/EFTUD2/PCBP2/CASC3/SNRPA/NUP98/SYMPK/RBFOX2/PABPC1/KDM1A/YBX1/SMNDC1/PAPOLA/SRSF10/SLU7/SNRNP27/HTATSF1/HNRNPC/REST/PRPF40A/STRAP/DHX9/DHX8/PLRG1/CPSF2/SRSF3/CDK13/WBP4/PRPF38A/SYF2/ZCRB1/LSM3/DYRK1A/CWC15/POLR2B/SF3B6/BCAS2/FIP1L1/DDX1/SNRPA1/HNRNPR/GTF2F2/DHX15/CSTF1/SYNCRIP/ZCCHC8/CWC27/SRSF2/HNRNPH2",71
"GO:0009896","positive regulation of catabolic process","77/1780","392/17913",3.68904669521295e-09,3.94240763805399e-07,3.30438939332878e-07,"VPS11/RAB7A/DAPK1/BAG6/GSK3A/DDB1/VCP/GBA/EDEM2/GGA3/PNPLA2/UPF1/RAD23A/PUM1/EZR/STX5/UBQLN2/VPS28/MFN2/LARP1/HSF1/ZFP36/PLK2/CLU/PABPC1/MTDH/PTK2B/PRXL2C/EIF2AK4/MAPK3/SOCS5/SUMO2/TBK1/PSMC1/TMTC3/MDM2/MAP3K7/COP1/SPTLC1/CNOT6L/GPC3/RDX/DAB2/ITCH/CNOT1/GNAI3/YTHDF3/WAC/APOA2/RIPK2/CNOT8/ABHD5/SNX9/PTTG1IP/NEDD4/PSMC6/SUMO1/VPS35/NFE2L2/PSEN1/FBXW7/SEC22B/CNOT7/HSPB8/AMBRA1/TP53INP1/HSP90AA1/HNRNPR/UBQLN1/TRIM71/PAFAH1B2/PIAS1/MAPK9/PIK3CB/SIRT1/PSMC2/RAB3GAP1",77
"GO:1903362","regulation of cellular protein catabolic process","53/1780","230/17913",3.90514964460975e-09,4.09606807167956e-07,3.43318224116764e-07,"VPS11/BAG6/ARAF/GSK3A/ANXA2/VCP/GBA/EDEM2/RAD23A/RGP1/EZR/UBQLN2/DDA1/PSMF1/PLK2/CLU/PTK2B/EFNA1/SOCS5/SUMO2/PSMC1/TMTC3/MDM2/COP1/UBAC2/PSME3/RDX/DAB2/USP7/ERLEC1/USP14/N4BP1/WAC/UCHL5/UBE3A/PTTG1IP/CSNK2A2/PSMC6/SUMO1/VPS35/STYX/MTM1/NFE2L2/PSEN1/FBXW7/SENP1/UBE2J1/HSP90AA1/UBQLN1/PIAS1/MAPK9/PSMC2/RYBP",53
"GO:0006402","mRNA catabolic process","69/1780","338/17913",4.63928824687859e-09,4.77762338733097e-07,4.0044382762531e-07,"MYD88/HSPB1/EIF4G1/PSMD3/PATL1/YBX3/NBDY/NUP214/RPL6/PSMD4/DCPS/UPF1/EIF4A3/PUM1/PPP2R1A/CARHSP1/RNPS1/EXOSC10/CASC3/PSMB2/LARP1/PSMF1/ZFP36/PABPC1/PSMB8/YBX1/PSMC1/DCP2/CNOT11/CNOT6L/SSB/PSME3/HNRNPC/CNOT1/CNOT2/PAIP1/ETF1/YTHDF3/DHX9/TNPO1/SET/CNOT8/SERBP1/PSMD7/PNRC2/PSMC6/PPP2R2A/SMG8/YWHAZ/LSM3/DCP1A/EIF3E/HBS1L/EXOSC8/CNOT7/IGF2BP3/CSDE1/PUM2/PSMD2/HNRNPR/PSMD5/TRIM71/PPP2CA/PSMA4/PSMD11/TENT4B/PSMC2/SYNCRIP/NBAS",69
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","30/1780","95/17913",4.94018536412030e-09,4.99664462542453e-07,4.18801428424484e-07,"PSMD3/SEC31A/PSMD4/SNAP23/PSMB2/PSMF1/TAP2/TAP1/B2M/HLA-G/HLA-E/PSMB8/PSMC1/PSME3/SEC24A/LNPEP/CANX/PSMD7/PSMC6/PDIA3/CHUK/SEC24D/SEC22B/PSMD2/PSMD5/SEC24B/PSMA4/PSMD11/PSMC2/SEC23A",30
"GO:0006457","protein folding","44/1780","176/17913",5.95344479765469e-09,5.9158440936695e-07,4.95845540857297e-07,"PRKCSH/HSPB1/CSNK2B/ALG12/GNAI2/DFFA/VCP/MLEC/GNB1/GANAB/DNAJB12/DNAJC4/NFYC/GRN/B2M/DNAJC10/CLU/P3H1/PDIA5/PRDX4/HSPH1/PPIA/DNAJA2/PSMC1/TOR1A/DNAJA1/GNAI3/SELENOF/UGGT1/CANX/ERO1A/PTGES3/CLPX/CSNK2A2/CCT6A/PDIA3/GNAI1/AMFR/HSP90AA1/PFDN4/CCT8/LMAN1/MPDU1/CWC27",44
"GO:0006401","RNA catabolic process","73/1780","368/17913",6.06856023384316e-09,5.92626295939442e-07,4.96718814058669e-07,"MYD88/HSPB1/EIF4G1/PSMD3/PATL1/YBX3/NBDY/SIDT2/NUP214/RPL6/PSMD4/DCPS/UPF1/EIF4A3/PUM1/PPP2R1A/CARHSP1/RNPS1/EXOSC10/CASC3/PSMB2/LARP1/PSMF1/ZFP36/PABPC1/PSMB8/OAS2/RNASET2/YBX1/PSMC1/DCP2/CNOT11/CNOT6L/SSB/PSME3/HNRNPC/CNOT1/CNOT2/PAIP1/ETF1/YTHDF3/DHX9/TNPO1/SET/CNOT8/SERBP1/PSMD7/PNRC2/PSMC6/PPP2R2A/SMG8/YWHAZ/LSM3/DCP1A/EIF3E/HBS1L/EXOSC8/CNOT7/IGF2BP3/CSDE1/PUM2/PSMD2/HNRNPR/PSMD5/TRIM71/XRN2/PPP2CA/PSMA4/PSMD11/TENT4B/PSMC2/SYNCRIP/NBAS",73
"GO:0048524","positive regulation of viral process","31/1780","103/17913",1.00146605563409e-08,9.61407413408726e-07,8.05818360554816e-07,"RAB7A/SP1/SNW1/DDB1/SMARCA4/RAD23A/SMARCB1/ADAR/LARP1/PABPC1/LGALS1/PPIA/TSG101/RSF1/DHX9/CHMP2B/TBC1D20/STAU1/CHMP3/NR5A2/POLR2B/VPS4B/CNOT7/TRIM11/P4HB/SMC3/KPNA6/GTF2F2/HACD3/CHMP4B/VAPA",31
"GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","32/1780","109/17913",1.14076922992496e-08,1.07688615304916e-06,9.02608636309045e-07,"PSMD3/ATF6B/NCK2/CREBBP/SIN3A/TMBIM6/PSMD4/TP53/PSMB2/PSMF1/HSF1/EPAS1/CITED2/PSMB8/EGLN3/GCN1/PSMC1/PSME3/BACH1/PSMD7/NEDD4/PSMC6/MBTPS2/NFE2L2/ATF3/ATF4/PSMD2/PSMD5/PSMA4/PSMD11/PSMC2/CUL2",32
"GO:0043620","regulation of DNA-templated transcription in response to stress","33/1780","115/17913",1.26695991054264e-08,1.17640343169074e-06,9.86020568860619e-07,"PSMD3/ATF6B/NCK2/CREBBP/SIN3A/TMBIM6/RELA/PSMD4/TP53/PSMB2/PSMF1/HSF1/EPAS1/CITED2/PSMB8/EGLN3/GCN1/PSMC1/PSME3/BACH1/PSMD7/NEDD4/PSMC6/MBTPS2/NFE2L2/ATF3/ATF4/PSMD2/PSMD5/PSMA4/PSMD11/PSMC2/CUL2",33
"GO:0006487","protein N-linked glycosylation","23/1780","63/17913",1.38694491795533e-08,1.26704129279016e-06,1.06199008149041e-06,"ALG12/MAN1C1/VCP/ALG3/KRTCAP2/SYVN1/MGAT4A/ALG6/ALG2/B4GALT1/NUS1/MCFD2/STT3A/RPN2/ALG8/UBE2J1/RPN1/ST3GAL1/LMAN1/OSTC/MAGT1/DPM1/MPDU1",23
"GO:0031331","positive regulation of cellular catabolic process","68/1780","341/17913",1.61092691472006e-08,1.42597470611039e-06,1.19520255808762e-06,"VPS11/DAPK1/BAG6/GSK3A/VCP/GBA/EDEM2/PNPLA2/UPF1/RAD23A/PUM1/EZR/UBQLN2/MFN2/LARP1/HSF1/ZFP36/PLK2/CLU/PABPC1/MTDH/PTK2B/PRXL2C/EIF2AK4/MAPK3/SOCS5/SUMO2/TBK1/PSMC1/TMTC3/MDM2/MAP3K7/COP1/SPTLC1/CNOT6L/RDX/DAB2/ITCH/CNOT1/GNAI3/YTHDF3/WAC/RIPK2/CNOT8/ABHD5/SNX9/PTTG1IP/PSMC6/SUMO1/VPS35/NFE2L2/PSEN1/FBXW7/CNOT7/HSPB8/AMBRA1/TP53INP1/HSP90AA1/HNRNPR/UBQLN1/TRIM71/PAFAH1B2/PIAS1/MAPK9/PIK3CB/SIRT1/PSMC2/RAB3GAP1",68
"GO:0006611","protein export from nucleus","41/1780","163/17913",1.61127085436202e-08,1.42597470611039e-06,1.19520255808762e-06,"AAAS/NXF1/NUP62/NUP214/UPF1/SUPT6H/AHCYL1/SRRM1/EIF4A3/ANP32B/POLDIP3/RNPS1/CHP1/TP53/CASC3/NUP98/SYMPK/POM121/TCF7L2/FYTTD1/NUP107/MDM2/SSB/SLU7/NUP160/NUP54/SDAD1/PPM1A/CPSF2/THOC7/SRSF3/AGFG1/SEH1L/NUP153/STYX/PTPN11/FIP1L1/YWHAE/NMD3/XPOT/SRSF2",41
"GO:0043543","protein acylation","52/1780","233/17913",1.72757940255545e-08,1.48329910639067e-06,1.24324988288395e-06,"CTCF/WBP2/DPF2/CREBBP/BAG6/HCFC1/SIN3A/ZDHHC5/SMAD4/ZDHHC18/GATA3/KAT8/SMARCB1/MSL3/KAT7/LDB1/USP22/ZDHHC12/CRTC2/DPF3/NMT1/MDH2/ZDHHC9/SOX4/MAPK3/CDYL/KANSL2/MAP3K7/RPS6KA5/ZDHHC16/BRD7/RSF1/DLD/NAA35/SET/PPM1A/ZMPSTE24/BAZ1A/HAT1/HDAC2/ZDHHC20/DR1/EPC2/ABHD17C/NAA50/NCOA3/ZDHHC6/MSL2/SIRT1/GOLGA7/SPI1/PHF10",52
"GO:0006405","RNA export from nucleus","34/1780","122/17913",1.72842056888744e-08,1.48329910639067e-06,1.24324988288395e-06,"AAAS/NXF1/NUP62/NUP214/UPF1/SUPT6H/SRRM1/EIF4A3/POLDIP3/RNPS1/CASC3/NUP98/SYMPK/POM121/FYTTD1/NUP107/SSB/SLU7/NUP160/NUP54/PHAX/DHX9/SDAD1/CPSF2/THOC7/SRSF3/AGFG1/SEH1L/NUP153/FIP1L1/NMD3/XPOT/SRSF2/CPSF6",34
"GO:1903902","positive regulation of viral life cycle","22/1780","59/17913",1.81934773538601e-08,1.53802769749647e-06,1.28912149043062e-06,"DDB1/RAD23A/ADAR/LARP1/PABPC1/LGALS1/PPIA/TSG101/CHMP2B/TBC1D20/STAU1/CHMP3/NR5A2/VPS4B/CNOT7/TRIM11/P4HB/SMC3/KPNA6/HACD3/CHMP4B/VAPA",22
"GO:0006446","regulation of translational initiation","24/1780","69/17913",2.03037090406396e-08,1.69117952950269e-06,1.41748804602608e-06,"HSPB1/EIF4G1/NCK2/PPP1CA/EIF3H/EIF1/EIF2AK1/LARP1/EIF4H/EIF2AK4/DNAJC3/RPS6KB1/DHX29/YTHDF3/PPP1R15B/PAIP2/EIF4B/EIF4G2/EIF3E/ATF4/DDX1/EIF5/EIF2S1/MTIF2",24
"GO:0050821","protein stabilization","42/1780","171/17913",2.27858522301076e-08,1.87042126132361e-06,1.56772225107224e-06,"LAMP1/BAG6/HCFC1/GAPDH/CDK7/CHP1/TP53/COG7/SYVN1/GRN/PFN1/FLNA/CLU/STK4/P3H1/SOX4/FLOT2/SMAD3/EFNA1/STK3/USP7/APOA2/PTGES3/USP9X/USP33/MORC3/PDCD10/SUMO1/CREBL2/CCT6A/FBXW7/ATP1B3/SEL1L/TRIM44/NLK/HSP90AA1/CCT8/NAPG/LAMP2/COG3/GOLGA7/MCM8",42
"GO:0034248","regulation of cellular amide metabolic process","83/1780","452/17913",2.35029146063904e-08,1.90172154757993e-06,1.59395706578678e-06,"HSPB1/EIF4G1/NCK2/SHMT2/DAPK1/YBX3/GSK3A/EIF4ENIF1/CTSA/MRPS27/TNFRSF1A/PPP1CA/GGA3/ATXN2/GAPDH/NCL/UPF1/EIF3H/EEF2/EIF4A3/PUM1/PA2G4/POLDIP3/CAPRIN1/PCIF1/CASC3/EIF1/EIF2AK1/RHOA/LARP1/EIF4H/ZFP36/CLU/PABPC1/PTK2B/SOX4/GCN1/DIO2/EIF2AK4/MAPK3/THBS1/EFNA1/CNOT11/CNOT6L/USP16/CNOT1/LARP4B/GRM5/DNAJC3/PAIP1/ETF1/SAMD4A/RPS6KB1/DHX29/YTHDF3/PPP1R15B/DHX9/IREB2/PAIP2/SMPD2/TMED10/EIF4B/MTPN/EIF4G2/EIF3E/NFE2L2/LSM14A/ATF4/IGF2BP3/RPUSD3/PUM2/DDX1/HNRNPR/TRIM71/EIF5/CASP3/SRP9/EIF2S1/PICALM/MTIF2/SAMD8/EIF2A/SYNCRIP",83
"GO:0035459","cargo loading into vesicle","11/1780","16/17913",2.46627821982059e-08,1.96746476578364e-06,1.64906075187411e-06,"SEC31A/TMED2/SEC24A/TBC1D20/TMED10/RAB1A/SEC24D/SEC24B/SAR1A/PICALM/SEC23A",11
"GO:0051656","establishment of organelle localization","82/1780","448/17913",3.31063471975473e-08,2.60436597954039e-06,2.18288926697278e-06,"RAB11B/NAPA/DCTN1/LAMP1/TRAPPC1/NUMA1/MAP1S/NUP62/SEC31A/CHAMP1/ACTN4/TFG/SNAP29/EZR/WIPI1/UNC13D/MYO1C/STX5/COPG1/SNAP23/VAMP2/NSFL1C/RAB6A/AP3D1/GBF1/CBL/CTSZ/TOR1A/MCPH1/CDC42/TMED2/SEC24A/KPNB1/CHMP2B/MIS12/AP3M1/BET1/TBC1D23/TBC1D20/SDAD1/TRAPPC6A/MCFD2/TMED10/PPP6C/PREB/RAP1A/TRAPPC6B/ACTR3/RAB1A/SCFD1/PDCD10/YWHAZ/SEH1L/PAX6/PSEN1/RAP1B/SEC24D/SEC22B/VPS4B/PDPK1/RHOT1/SNX4/CLN3/TRAPPC3/C12orf4/ACTR2/TMEM230/SEC24B/LAT2/FAM83D/CUL3/LMAN1/FAM91A1/CHMP4B/PPP6R3/NMD3/SPAST/KIF5B/RAB5A/SEC23A/RAB3GAP1/WASL",82
"GO:0061136","regulation of proteasomal protein catabolic process","41/1780","167/17913",3.38064095481932e-08,2.62300689973926e-06,2.19851343997622e-06,"BAG6/ARAF/GSK3A/VCP/GBA/EDEM2/RAD23A/UBQLN2/DDA1/PSMF1/PLK2/CLU/SOCS5/SUMO2/PSMC1/TMTC3/MDM2/COP1/UBAC2/PSME3/DAB2/USP7/ERLEC1/USP14/N4BP1/WAC/UCHL5/PSMC6/SUMO1/STYX/MTM1/NFE2L2/PSEN1/FBXW7/SENP1/UBE2J1/UBQLN1/PIAS1/MAPK9/PSMC2/RYBP",41
"GO:0009100","glycoprotein metabolic process","71/1780","369/17913",3.58638606603456e-08,2.74503928081348e-06,2.30079675075617e-06,"PRKCSH/ALG12/VEGFB/MAN1C1/MAN2A2/VCP/EDEM2/BCL2/B4GALT3/AATF/CANT1/BGN/GANAB/NCSTN/CHP1/ALG3/COG7/KRTCAP2/SYVN1/UGDH/MMP12/TCF7L2/HEXB/GCNT1/GALNT6/GALNT7/GALNT3/AGA/GALNT12/CSGALNACT2/ITM2B/PLOD3/MGAT4A/SOAT1/TMTC3/ALG6/POFUT2/ALG2/IDS/RNF103/HS3ST4/B4GALT1/HS3ST3B1/C1GALT1/NUS1/EDEM3/UGGT1/MCFD2/STT3A/RPN2/RAB1A/PSEN1/GXYLT1/SEL1L/IMPAD1/AMFR/ALG8/UBE2J1/RPN1/ST3GAL4/ST3GAL1/LMAN1/COG3/SLC35C2/OSTC/MAGT1/DPM1/BMPR2/MPDU1/EXTL2/GALNT1",71
"GO:0043903","regulation of symbiosis, encompassing mutualism through parasitism","51/1780","232/17913",3.98674813166356e-08,3.01079218903232e-06,2.52354162439335e-06,"RAB7A/SP1/TRIM28/ANXA2/SNW1/DDB1/SMARCA4/OSBP/BCL2/GAPDH/RAD23A/SMARCB1/ADAR/EXOC7/BANF1/LARP1/ZFP36/SLPI/BST2/MX1/TRIM14/PABPC1/STAT1/LGALS1/EIF2AK4/PPIA/TSG101/EXOC2/REST/RSF1/APOBEC3H/DHX9/CHMP2B/TBC1D20/STAU1/CHMP3/NR5A2/SQSTM1/POLR2B/VPS4B/CNOT7/TRIM11/P4HB/HDAC1/SMC3/KPNA6/GTF2F2/HACD3/TASOR/CHMP4B/VAPA",51
"GO:0010506","regulation of autophagy","63/1780","314/17913",4.25727935789403e-08,3.17279345830418e-06,2.65932547148228e-06,"ATP6V0A1/HSPB1/EIF4G1/VDAC1/DAPK1/DEPP1/ATP6V0D1/GSK3A/CAPN1/USP30/GBA/CTSA/BCL2/RRAGA/GAPDH/KAT8/EXOC7/UBQLN2/TP53/MFN2/ATP6V0C/LARP1/PLK2/MTDH/EIF2AK4/MAPK3/TBK1/MAP3K7/SPTLC1/ATP6V1C1/RRAGC/GNAI3/LAMTOR3/WAC/RIPK2/ZMPSTE24/USP33/NEDD4/CSNK2A2/MCL1/ATP6V1A/SCFD1/ATG13/VPS35/USP10/MTM1/EIF4G2/DRAM2/FBXW7/SEC22B/HSPB8/AMBRA1/XBP1/TP53INP1/ATP6V1D/PAFAH1B2/SNX6/PIK3CB/CHMP4B/CASP3/SIRT1/RAB5A/RAB3GAP1",63
"GO:0050657","nucleic acid transport","42/1780","176/17913",5.5164955626652e-08,4.00582447011996e-06,3.35754318321458e-06,"AAAS/NXF1/SIDT2/NUP62/NUP214/ATXN2/UPF1/SUPT6H/SRRM1/EIF4A3/POLDIP3/MYO1C/RNPS1/CASC3/NUP98/SYMPK/HSF1/POM121/ZFP36/FYTTD1/NUP107/NXT2/SSB/SLU7/NUP160/NUP54/PHAX/SENP2/DHX9/SDAD1/CPSF2/THOC7/SRSF3/AGFG1/SEH1L/NUP153/IGF2BP3/FIP1L1/NMD3/XPOT/SRSF2/CPSF6",42
"GO:0050658","RNA transport","42/1780","176/17913",5.5164955626652e-08,4.00582447011996e-06,3.35754318321458e-06,"AAAS/NXF1/SIDT2/NUP62/NUP214/ATXN2/UPF1/SUPT6H/SRRM1/EIF4A3/POLDIP3/MYO1C/RNPS1/CASC3/NUP98/SYMPK/HSF1/POM121/ZFP36/FYTTD1/NUP107/NXT2/SSB/SLU7/NUP160/NUP54/PHAX/SENP2/DHX9/SDAD1/CPSF2/THOC7/SRSF3/AGFG1/SEH1L/NUP153/IGF2BP3/FIP1L1/NMD3/XPOT/SRSF2/CPSF6",42
"GO:0016482","cytosolic transport","36/1780","140/17913",6.49595675055169e-08,4.65735430824364e-06,3.90363290406237e-06,"VPS11/RAB7A/DCTN1/AP1G1/LAMP1/RGP1/EZR/WIPI1/STX5/AP2A1/RAB6A/WASHC2A/GBF1/CLN5/MAPK3/RHOBTB3/SRSF10/AKTIP/RDX/DAB2/HOOK2/EMP2/TMEM87B/TBC1D23/SNX2/VPS35/EVI5/CHMP3/CLTC/UBE2O/RAB21/ACTR2/SNX6/TMEM87A/KIF5B/RAB5A",36
"GO:0036498","IRE1-mediated unfolded protein response","22/1780","63/17913",7.23108747009068e-08,5.1196099288242e-06,4.29107953817223e-06,"CTDSP2/BFAR/DCTN1/SRPRA/ATP6V0D1/GSK3A/SEC31A/HDGF/ADD1/SHC1/WIPI1/TPP1/YIF1A/SYVN1/KDELR3/PDIA5/DNAJC3/PREB/GFPT1/XBP1/SSR1/EXTL2",22
"GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","45/1780","198/17913",8.84464970862076e-08,6.18470320365778e-06,5.18380379283686e-06,"BAG6/ARAF/GSK3A/VCP/GBA/EDEM2/RAD23A/UBQLN2/DDA1/PSMF1/PLK2/CLU/PTK2B/EFNA1/SOCS5/SUMO2/PSMC1/TMTC3/MDM2/COP1/UBAC2/PSME3/DAB2/USP7/ERLEC1/USP14/N4BP1/WAC/UCHL5/UBE3A/CSNK2A2/PSMC6/SUMO1/STYX/MTM1/NFE2L2/PSEN1/FBXW7/SENP1/UBE2J1/UBQLN1/PIAS1/MAPK9/PSMC2/RYBP",45
"GO:0051236","establishment of RNA localization","42/1780","179/17913",9.17892327507867e-08,6.34017334512751e-06,5.31411347504555e-06,"AAAS/NXF1/SIDT2/NUP62/NUP214/ATXN2/UPF1/SUPT6H/SRRM1/EIF4A3/POLDIP3/MYO1C/RNPS1/CASC3/NUP98/SYMPK/HSF1/POM121/ZFP36/FYTTD1/NUP107/NXT2/SSB/SLU7/NUP160/NUP54/PHAX/SENP2/DHX9/SDAD1/CPSF2/THOC7/SRSF3/AGFG1/SEH1L/NUP153/IGF2BP3/FIP1L1/NMD3/XPOT/SRSF2/CPSF6",42
"GO:0032386","regulation of intracellular transport","74/1780","400/17913",9.90708948788519e-08,6.76069335655201e-06,5.66657876859381e-06,"VPS11/RAB11B/AAAS/LAMP1/GDI1/BCAS3/TRIM28/GSK3A/ANXA2/NUMA1/NUP62/NUP214/JUP/EDEM2/SUPT6H/EZR/ANP32B/UNC13D/MYO1C/VAMP2/CHP1/TP53/ARHGAP1/FLNA/TCF7L2/MAPK3/REEP1/SMAD3/MDM2/UBAC2/RDX/DAB2/NUP54/PPP1CC/ERLEC1/NUS1/DHX9/TBC1D20/PPM1A/SAE1/RINT1/RAP1A/NEDD4/CSNK2A2/CHP2/SCFD1/ATG13/PDCD10/NUP153/CHMP3/PTPN11/PSEN1/FBXW7/TMEM30A/RAP1B/UBE2L3/PDPK1/RHOT1/RAB21/SNX4/EHD2/ITGAM/YWHAE/UBE2J1/C12orf4/UBE2D3/SEC24B/LMAN1/NPEPPS/KIF5B/RAB5A/YIPF5/RAB3GAP1/CPSF6",74
"GO:0016055","Wnt signaling pathway","87/1780","498/17913",1.13709399330269e-07,7.667262354841e-06,6.42643347092122e-06,"MED12/PSMD3/ZNF703/CSNK2B/DLX5/GSK3A/DDB1/SMARCA4/CTDNEP1/PSMD4/VCP/JUP/RAC1/PPP1CA/GNB1/GATA3/HMGXB4/MARK2/CALCOCO1/PPP2R1A/LDB1/ILK/DRAXIN/BCL9L/AP2M1/EGFR/AP2A1/AP2B1/SIAH2/PSMB2/BCL7B/RHOA/ATP6V0C/PSMF1/PFN1/NOTUM/TCF7L2/GPC4/STK4/PSMB8/SOX4/SFRP1/NOG/CCNE1/SMAD3/PSMC1/MAP3K7/GPC3/STK3/TNKS2/PSME3/TLE2/DAB2/BRD7/CDC42/SENP2/HBP1/PPP3CB/MESP1/CTR9/PPM1A/PSMD7/RTF1/CSNK2A2/CDC73/PSMC6/VPS35/TBL1XR1/RYK/CLTC/PSEN1/GSC/SPIN1/SCYL2/ARRB2/NLK/PSMD2/HDAC1/MBD2/PSMD5/CUL3/PPP2CA/CUL1/PSMA4/PSMD11/PSMC2/RAB5A",87
"GO:0009895","negative regulation of catabolic process","58/1780","288/17913",1.26882803752935e-07,8.45487294654849e-06,7.08658136130942e-06,"MYD88/EIF4G1/BAG6/CRTC3/YBX3/GSK3A/ANXA2/DFFA/RELA/SF3B3/USP30/CTSA/BCL2/RRAGA/RGP1/EGFR/TP53/LARP1/PSMF1/ZFP36/FLNA/BSCL2/PABPC1/TIMP1/SERPINE2/HCAR2/TIMP3/SMAD3/YBX1/EFNA1/UBAC2/USP7/ERLEC1/HNRNPC/PAIP1/USP14/N4BP1/DHX9/WAC/APOA2/UCHL5/CSNK2A2/MCL1/SCFD1/VPS35/STYX/MTM1/EIF4G2/PSEN1/SEC22B/SENP1/AZIN1/UBE2J1/CHMP4B/TENT4B/SYNCRIP/NBAS/RYBP",58
"GO:0198738","cell-cell signaling by wnt","87/1780","500/17913",1.36545381845363e-07,8.97961622982439e-06,7.52640298775424e-06,"MED12/PSMD3/ZNF703/CSNK2B/DLX5/GSK3A/DDB1/SMARCA4/CTDNEP1/PSMD4/VCP/JUP/RAC1/PPP1CA/GNB1/GATA3/HMGXB4/MARK2/CALCOCO1/PPP2R1A/LDB1/ILK/DRAXIN/BCL9L/AP2M1/EGFR/AP2A1/AP2B1/SIAH2/PSMB2/BCL7B/RHOA/ATP6V0C/PSMF1/PFN1/NOTUM/TCF7L2/GPC4/STK4/PSMB8/SOX4/SFRP1/NOG/CCNE1/SMAD3/PSMC1/MAP3K7/GPC3/STK3/TNKS2/PSME3/TLE2/DAB2/BRD7/CDC42/SENP2/HBP1/PPP3CB/MESP1/CTR9/PPM1A/PSMD7/RTF1/CSNK2A2/CDC73/PSMC6/VPS35/TBL1XR1/RYK/CLTC/PSEN1/GSC/SPIN1/SCYL2/ARRB2/NLK/PSMD2/HDAC1/MBD2/PSMD5/CUL3/PPP2CA/CUL1/PSMA4/PSMD11/PSMC2/RAB5A",87
